flower_power,team
32.35,DEN
28.97,IND
28.89,SD
28.41,SEA
27.09,BAL
26.68,KC
25.32,ARI
24.68,GB
24.40,NE
23.85,DAL
23.77,PHI
23.74,SF
22.68,DET
21.92,CIN
21.69,HOU
21.43,BUF
20.14,MIA
19.31,NYG
18.75,CHI
18.34,CLE
14.68,WAS
14.39,CAR
12.72,ATL
12.39,TEN
11.92,PIT
11.77,NO
11.74,NYJ
10.56,MIN
9.89,OAK
6.11,STL
3.57,JAC
0.00,TB
