week,home_team,away_team,point_diff
1,NYG,DAL,-7
1,CHI,IND,20
1,MIN,JAC,3
1,NYJ,BUF,20
1,HOU,MIA,20
1,TEN,NE,-21
1,DET,STL,4
1,NO,WAS,-8
1,CLE,PHI,-1
1,KC,ATL,-16
1,GB,SF,-8
1,ARI,SEA,4
1,TB,CAR,6
1,DEN,PIT,12
1,BAL,CIN,31
1,OAK,SD,-8
2,GB,CHI,13
2,NYG,TB,7
2,CAR,NO,8
2,NE,ARI,-2
2,IND,MIN,3
2,PHI,BAL,1
2,BUF,KC,18
2,CIN,CLE,7
2,JAC,HOU,-20
2,SEA,DAL,20
2,STL,WAS,3
2,PIT,NYJ,17
2,SD,TEN,28
2,MIA,OAK,22
2,SF,DET,8
2,ATL,DEN,6
3,CAR,NYG,-29
3,DAL,TB,6
3,CHI,STL,17
3,MIN,SF,11
3,TEN,DET,3
3,WAS,CIN,-7
3,NO,KC,-3
3,MIA,NYJ,-3
3,CLE,BUF,-10
3,IND,JAC,-5
3,ARI,PHI,21
3,SD,ATL,-24
3,DEN,HOU,-6
3,OAK,PIT,3
3,BAL,NE,1
3,SEA,GB,2
4,BAL,CLE,7
4,BUF,NE,-24
4,HOU,TEN,24
4,KC,SD,-17
4,DET,MIN,-7
4,ATL,CAR,2
4,STL,SEA,6
4,NYJ,SF,-34
4,ARI,MIA,3
4,DEN,OAK,31
4,JAC,CIN,-17
4,GB,NO,1
4,TB,WAS,-2
4,PHI,NYG,2
4,DAL,CHI,-16
5,STL,ARI,14
5,WAS,ATL,-7
5,PIT,PHI,2
5,IND,GB,3
5,NYG,CLE,14
5,MIN,TEN,23
5,CIN,MIA,-4
5,KC,BAL,-3
5,CAR,SEA,-4
5,JAC,CHI,-38
5,NE,DEN,10
5,SF,BUF,42
5,NO,SD,7
5,NYJ,HOU,-6
6,TEN,PIT,3
6,ATL,OAK,3
6,TB,KC,28
6,NYJ,IND,26
6,CLE,CIN,10
6,PHI,DET,-3
6,MIA,STL,3
6,BAL,DAL,2
6,ARI,BUF,-3
6,SEA,NE,1
6,SF,NYG,-23
6,WAS,MIN,12
6,HOU,GB,-18
6,SD,DEN,-11
7,SF,SEA,7
7,NYG,WAS,4
7,MIN,ARI,7
7,CAR,DAL,-5
7,TB,NO,-7
7,STL,GB,-10
7,HOU,BAL,30
7,IND,CLE,4
7,BUF,TEN,-1
7,NE,NYJ,3
7,OAK,JAC,3
7,CIN,PIT,-7
7,CHI,DET,6
8,MIN,TB,-19
8,GB,JAC,9
8,NYJ,MIA,-21
8,CLE,SD,1
8,TEN,IND,-6
8,STL,NE,-38
8,PHI,ATL,-13
8,CHI,CAR,1
8,DET,SEA,4
8,PIT,WAS,15
8,KC,OAK,-10
8,DAL,NYG,-5
8,DEN,NO,20
8,ARI,SF,-21
9,SD,KC,18
9,WAS,CAR,-8
9,GB,ARI,14
9,JAC,DET,-17
9,TEN,CHI,-31
9,CIN,DEN,-8
9,CLE,BAL,-10
9,HOU,BUF,12
9,IND,MIA,3
9,SEA,MIN,10
9,OAK,TB,-10
9,NYG,PIT,-4
9,ATL,DAL,6
9,NO,PHI,15
10,JAC,IND,-17
10,CAR,DEN,-22
10,TB,SD,10
10,MIA,TEN,-34
10,NE,BUF,6
10,BAL,OAK,35
10,CIN,NYG,18
10,NO,ATL,4
10,MIN,DET,10
10,SEA,NYJ,21
10,PHI,DAL,-15
10,SF,STL,0
10,CHI,HOU,-7
10,PIT,KC,3
11,BUF,MIA,5
11,WAS,PHI,25
11,DET,GB,-4
11,ATL,ARI,4
11,CAR,TB,-6
11,DAL,CLE,3
11,STL,NYJ,-14
11,NE,IND,35
11,HOU,JAC,6
11,KC,CIN,-22
11,OAK,NO,-21
11,DEN,SD,7
11,PIT,BAL,-3
11,SF,CHI,25
12,DET,HOU,-3
12,DAL,WAS,-7
12,NYJ,NE,-30
12,CIN,OAK,24
12,CLE,PIT,6
12,IND,BUF,7
12,JAC,TEN,5
12,KC,DEN,-8
12,CHI,MIN,18
12,TB,ATL,-1
12,MIA,SEA,3
12,SD,BAL,-3
12,NO,SF,-10
12,ARI,STL,-14
12,NYG,GB,28
12,PHI,CAR,-8
13,ATL,NO,10
13,CHI,SEA,-6
13,GB,MIN,9
13,STL,SF,3
13,NYJ,ARI,1
13,KC,CAR,6
13,DET,IND,-2
13,BUF,JAC,16
13,MIA,NE,-7
13,TEN,HOU,-14
13,DEN,TB,8
13,BAL,PIT,-3
13,OAK,CLE,-3
13,SD,CIN,-7
13,DAL,PHI,5
13,WAS,NYG,1
14,OAK,DEN,-13
14,WAS,BAL,3
14,CLE,KC,23
14,PIT,SD,-10
14,IND,TEN,4
14,JAC,NYJ,-7
14,MIN,CHI,7
14,CAR,ATL,10
14,TB,PHI,-2
14,BUF,STL,-3
14,CIN,DAL,-1
14,SF,MIA,14
14,NYG,NO,25
14,SEA,ARI,58
14,GB,DET,7
14,NE,HOU,28
15,PHI,CIN,-21
15,CHI,GB,-8
15,ATL,NYG,34
15,NO,TB,41
15,STL,MIN,-14
15,CLE,WAS,-17
15,MIA,JAC,21
15,BAL,DEN,-17
15,HOU,IND,12
15,ARI,DET,28
15,SD,CAR,-24
15,BUF,SEA,-33
15,DAL,PIT,3
15,OAK,KC,15
15,NE,SF,-7
15,TEN,NYJ,4
16,DET,ATL,-13
16,GB,TEN,48
16,CAR,OAK,11
16,MIA,BUF,14
16,PIT,CIN,-3
16,JAC,NE,-7
16,KC,IND,-7
16,DAL,NO,-3
16,PHI,WAS,-7
16,TB,STL,-15
16,BAL,NYG,19
16,HOU,MIN,-17
16,DEN,CLE,22
16,ARI,CHI,-15
16,SEA,SF,29
16,NYJ,SD,-10
17,BUF,NYJ,19
17,NE,MIA,28
17,CIN,BAL,6
17,PIT,CLE,14
17,IND,HOU,12
17,TEN,JAC,18
17,NYG,PHI,35
17,WAS,DAL,10
17,DET,CHI,-2
17,MIN,GB,3
17,ATL,TB,-5
17,NO,CAR,-6
17,DEN,KC,35
17,SD,OAK,3
17,SF,ARI,14
17,SEA,STL,7
