flower_power,team
22.83,NE
18.92,ARI
17.74,CAR
17.68,CIN
15.91,KC
13.98,PIT
13.60,GB
12.61,BUF
12.56,DEN
12.45,SEA
10.85,NYJ
9.99,NYG
9.40,MIN
9.34,ATL
8.03,PHI
7.94,IND
7.70,HOU
6.83,STL
6.78,WAS
6.27,CHI
6.25,OAK
6.03,BAL
5.71,TB
5.68,DAL
5.22,MIA
4.20,JAC
3.25,NO
2.36,TEN
2.02,SD
1.78,DET
0.91,CLE
0.00,SF
