week,home_team,away_team,point_diff
1,GB,NO,8
1,BAL,PIT,28
1,CLE,CIN,-10
1,HOU,IND,27
1,JAC,TEN,2
1,KC,BUF,-34
1,CHI,ATL,18
1,TB,DET,-7
1,STL,PHI,-18
1,WAS,NYG,14
1,ARI,CAR,7
1,SF,SEA,16
1,SD,MIN,7
1,NYJ,DAL,3
1,MIA,NE,-14
1,DEN,OAK,-3
2,DET,KC,45
2,BUF,OAK,3
2,TEN,BAL,13
2,NYJ,JAC,29
2,IND,CLE,-8
2,WAS,ARI,1
2,MIN,TB,-4
2,CAR,GB,-7
2,NO,CHI,17
2,PIT,SEA,24
2,SF,DAL,-3
2,NE,SD,14
2,DEN,CIN,2
2,MIA,HOU,-10
2,ATL,PHI,4
2,NYG,STL,12
3,CAR,JAC,6
3,NO,HOU,7
3,BUF,NE,3
3,CLE,MIA,1
3,TEN,DEN,3
3,PHI,NYG,-13
3,MIN,DET,-3
3,CIN,SF,-5
3,OAK,NYJ,10
3,SD,KC,3
3,STL,BAL,-30
3,CHI,GB,-10
3,SEA,ARI,3
3,TB,ATL,3
3,IND,PIT,-3
3,DAL,WAS,2
4,CIN,BUF,3
4,CLE,TEN,-18
4,HOU,PIT,7
4,DAL,DET,-4
4,PHI,SF,-1
4,CHI,CAR,5
4,STL,WAS,-7
4,JAC,NO,-13
4,KC,MIN,5
4,ARI,NYG,-4
4,SEA,ATL,-2
4,GB,DEN,26
4,OAK,NE,-12
4,SD,MIA,10
4,BAL,NYJ,17
4,TB,IND,7
5,PIT,TEN,21
5,HOU,OAK,-5
5,IND,KC,-4
5,JAC,CIN,-10
5,NYG,SEA,-11
5,MIN,ARI,24
5,CAR,NO,-3
5,BUF,PHI,7
5,SF,TB,45
5,NE,NYJ,9
5,DEN,SD,-5
5,ATL,GB,-11
5,DET,CHI,11
6,NYG,BUF,3
6,CIN,IND,10
6,PIT,JAC,4
6,WAS,PHI,-7
6,DET,SF,-6
6,GB,STL,21
6,ATL,CAR,14
6,OAK,CLE,7
6,BAL,HOU,15
6,TB,NO,6
6,NE,DAL,4
6,CHI,MIN,29
6,NYJ,MIA,18
7,MIA,DEN,-3
7,NYJ,SD,6
7,TEN,HOU,-34
7,DET,ATL,-7
7,CAR,WAS,13
7,TB,CHI,-6
7,CLE,SEA,3
7,ARI,PIT,-12
7,OAK,KC,-28
7,MIN,GB,-6
7,DAL,STL,27
7,NO,IND,55
7,JAC,BAL,5
8,NYG,MIA,3
8,HOU,JAC,10
8,TEN,IND,17
8,CAR,MIN,-3
8,STL,NO,10
8,BAL,ARI,3
8,DEN,DET,-35
8,BUF,WAS,23
8,PIT,NE,8
8,SF,CLE,10
8,SEA,CIN,-22
8,PHI,DAL,27
8,KC,SD,3
9,BUF,NYJ,-16
9,HOU,CLE,18
9,KC,MIA,-28
9,DAL,SEA,10
9,WAS,SF,-8
9,NO,TB,11
9,IND,ATL,-24
9,OAK,DEN,-14
9,TEN,CIN,-7
9,NE,NYG,-4
9,SD,GB,-7
9,ARI,STL,6
9,PIT,BAL,-3
9,PHI,CHI,-6
10,SD,OAK,-7
10,DAL,BUF,37
10,CAR,TEN,-27
10,TB,HOU,-28
10,CIN,PIT,-7
10,IND,JAC,-14
10,KC,DEN,-7
10,PHI,ARI,-4
10,CHI,DET,24
10,ATL,NO,-3
10,MIA,WAS,11
10,CLE,STL,-1
10,SEA,BAL,5
10,SF,NYG,7
10,NYJ,NE,-21
10,GB,MIN,38
11,DEN,NYJ,4
11,MIN,OAK,-6
11,ATL,TEN,6
11,MIA,BUF,27
11,CLE,JAC,4
11,BAL,CIN,7
11,WAS,DAL,-3
11,DET,CAR,14
11,GB,TB,9
11,SF,ARI,16
11,STL,SEA,-17
11,CHI,SD,11
11,NYG,PHI,-7
11,NE,KC,31
12,DET,GB,-12
12,DAL,MIA,1
12,BAL,SF,10
12,NYJ,BUF,4
12,CIN,CLE,3
12,JAC,HOU,-7
12,ATL,MIN,10
12,STL,ARI,-3
12,IND,CAR,-8
12,TEN,TB,6
12,SEA,WAS,-6
12,OAK,CHI,5
12,PHI,NE,-18
12,SD,DEN,-3
12,KC,PIT,-4
12,NO,NYG,25
13,SEA,PHI,17
13,WAS,NYJ,-15
13,CHI,KC,-7
13,BUF,TEN,-6
13,MIA,OAK,20
13,CLE,BAL,-14
13,PIT,CIN,28
13,NO,DET,14
13,TB,CAR,-19
13,HOU,ATL,7
13,MIN,DEN,-3
13,NYG,GB,-3
13,ARI,DAL,6
13,SF,STL,26
13,NE,IND,7
13,JAC,SD,-24
14,PIT,CLE,11
14,WAS,NE,-7
14,GB,OAK,30
14,NYJ,KC,27
14,CIN,HOU,-1
14,BAL,IND,14
14,DET,MIN,6
14,CAR,ATL,-8
14,MIA,PHI,-16
14,JAC,TB,27
14,TEN,NO,-5
14,ARI,SF,2
14,DEN,CHI,3
14,SD,BUF,27
14,DAL,NYG,-3
14,SEA,STL,17
15,ATL,JAC,27
15,TB,DAL,-16
15,STL,CIN,-7
15,BUF,MIA,-7
15,IND,TEN,14
15,NYG,WAS,-13
15,CHI,SEA,-24
15,MIN,NO,-22
15,HOU,CAR,-15
15,KC,GB,5
15,OAK,DET,-1
15,PHI,NYJ,26
15,ARI,CLE,3
15,DEN,NE,-18
15,SD,BAL,20
15,SF,PIT,17
16,IND,HOU,3
16,BUF,DEN,26
16,NE,MIA,3
16,BAL,CLE,6
16,TEN,JAC,6
16,KC,OAK,-3
16,NYJ,NYG,-15
16,WAS,MIN,-7
16,CAR,TB,32
16,CIN,ARI,7
16,PIT,STL,27
16,DET,SD,28
16,DAL,PHI,-13
16,SEA,SF,-2
16,GB,CHI,14
16,NO,ATL,29
17,MIA,NYJ,2
17,NE,BUF,28
17,CIN,BAL,-8
17,CLE,PIT,-4
17,HOU,TEN,-1
17,JAC,IND,6
17,NYG,DAL,17
17,PHI,WAS,24
17,GB,DET,4
17,MIN,CHI,-4
17,ATL,TB,21
17,NO,CAR,28
17,STL,SF,-7
17,DEN,KC,-4
17,OAK,SD,-12
17,ARI,SEA,3
