flower_power,team
23.59,NE
18.59,ARI
17.40,CIN
14.94,CAR
14.02,PIT
13.33,KC
12.66,NYJ
12.43,BUF
12.14,DEN
11.72,PHI
11.30,SEA
11.22,GB
10.68,MIN
10.06,NYG
9.78,ATL
8.97,WAS
7.55,OAK
7.03,MIA
7.01,STL
6.74,IND
5.96,BAL
5.62,CHI
5.60,HOU
4.79,DAL
3.74,SD
3.24,JAC
2.89,NO
1.74,TEN
1.60,TB
1.30,CLE
0.55,DET
0.00,SF
