flower_power,team
28.96,DEN
27.79,SEA
26.42,SF
26.30,IND
25.23,GB
24.67,CAR
24.61,NO
23.34,KC
22.57,DAL
21.94,CIN
19.63,DET
18.39,SD
17.75,BAL
17.75,NE
17.66,ARI
17.07,TEN
16.23,MIA
15.63,CHI
14.26,CLE
13.57,STL
13.29,BUF
13.24,OAK
12.00,WAS
11.85,PHI
11.71,ATL
10.75,HOU
10.63,PIT
8.80,NYG
7.70,MIN
6.92,TB
6.13,NYJ
0.00,JAC
