flower_power,team
24.38,SEA
23.00,DEN
21.52,CAR
20.62,SF
20.31,NO
18.12,KC
16.56,ARI
16.35,CIN
15.23,NE
12.82,IND
12.42,STL
12.39,MIA
12.37,SD
12.35,PHI
11.86,DAL
11.66,DET
10.13,TEN
10.11,CHI
10.02,TB
9.76,BAL
8.38,GB
7.96,ATL
7.69,PIT
6.50,BUF
5.59,NYG
5.12,CLE
4.59,MIN
4.09,HOU
4.02,OAK
2.14,NYJ
1.83,WAS
0.00,JAC
