flower_power,team
23.77,NE
21.67,GB
21.22,KC
21.19,DEN
20.74,MIA
18.18,IND
17.22,ARI
16.82,BAL
16.57,SEA
15.50,PHI
15.29,SD
15.05,DET
14.75,BUF
13.72,DAL
13.57,HOU
13.41,SF
11.59,PIT
11.30,NO
10.84,CIN
9.89,CLE
7.98,MIN
7.67,NYG
7.26,CHI
7.10,ATL
6.74,STL
5.89,NYJ
4.64,OAK
4.43,WAS
4.15,CAR
3.83,TEN
0.21,TB
0.00,JAC
