week,home_team,away_team,point_diff
1,SEA,GB,20
1,ATL,NO,3
1,BAL,CIN,-7
1,CHI,BUF,-3
1,HOU,WAS,11
1,KC,TEN,-16
1,MIA,NE,13
1,NYJ,OAK,5
1,PHI,JAC,17
1,PIT,CLE,3
1,STL,MIN,-28
1,DAL,SF,-11
1,TB,CAR,-6
1,DEN,IND,7
1,DET,NYG,21
1,ARI,SD,1
2,BAL,PIT,20
2,BUF,MIA,19
2,CAR,DET,17
2,CIN,ATL,14
2,CLE,NO,2
2,MIN,NE,-23
2,NYG,ARI,-11
2,TEN,DAL,-16
2,WAS,JAC,31
2,SD,SEA,9
2,TB,STL,-2
2,DEN,KC,7
2,GB,NYJ,7
2,OAK,HOU,-16
2,SF,CHI,-8
2,IND,PHI,-3
3,ATL,TB,42
3,BUF,SD,-12
3,CIN,TEN,26
3,CLE,BAL,-2
3,DET,GB,12
3,JAC,IND,-27
3,NE,OAK,7
3,NO,MIN,11
3,NYG,HOU,13
3,PHI,WAS,3
3,STL,DAL,-3
3,ARI,SF,9
3,MIA,KC,-19
3,SEA,DEN,6
3,CAR,PIT,-18
3,NYJ,CHI,-8
4,WAS,NYG,-31
4,BAL,CAR,28
4,CHI,GB,-21
4,HOU,BUF,6
4,IND,TEN,24
4,MIN,ATL,13
4,NYJ,DET,-7
4,OAK,MIA,-24
4,PIT,TB,-3
4,SD,JAC,19
4,SF,PHI,5
4,DAL,NO,21
4,KC,NE,27
5,GB,MIN,32
5,CAR,CHI,7
5,DAL,HOU,3
5,DET,BUF,-3
5,IND,BAL,7
5,JAC,PIT,-8
5,NO,TB,6
5,NYG,ATL,10
5,PHI,STL,6
5,TEN,CLE,-1
5,DEN,ARI,21
5,SD,NYJ,31
5,SF,KC,5
5,NE,CIN,26
5,WAS,SEA,-10
6,HOU,IND,-5
6,ATL,CHI,-14
6,BUF,NE,-15
6,CIN,CAR,0
6,CLE,PIT,21
6,MIA,GB,-3
6,MIN,DET,-14
6,NYJ,DEN,-14
6,TB,BAL,-31
6,TEN,JAC,2
6,OAK,SD,-3
6,ARI,WAS,10
6,SEA,DAL,-7
6,PHI,NYG,27
6,STL,SF,-14
7,NE,NYJ,2
7,BAL,ATL,22
7,BUF,MIN,1
7,CHI,MIA,-13
7,DET,NO,1
7,GB,CAR,21
7,IND,CIN,27
7,JAC,CLE,18
7,STL,SEA,2
7,WAS,TEN,2
7,SD,KC,-3
7,DAL,NYG,10
7,OAK,ARI,-11
7,DEN,SF,25
7,PIT,HOU,7
8,DEN,SD,14
8,ATL,DET,-1
8,CAR,SEA,-4
8,CIN,BAL,3
8,JAC,MIA,-14
8,KC,STL,27
8,NE,CHI,28
8,NYJ,BUF,-20
8,TB,MIN,-6
8,TEN,HOU,-14
8,ARI,PHI,4
8,CLE,OAK,10
8,PIT,IND,17
8,NO,GB,21
8,DAL,WAS,-3
9,CAR,NO,-18
9,CIN,JAC,10
9,CLE,TB,5
9,DAL,ARI,-11
9,HOU,PHI,-10
9,KC,NYJ,14
9,MIA,SD,37
9,MIN,WAS,3
9,SF,STL,-3
9,NE,DEN,22
9,SEA,OAK,6
9,PIT,BAL,20
9,NYG,IND,-16
10,CIN,CLE,-21
10,BAL,TEN,14
10,BUF,KC,-4
10,DET,MIA,4
10,JAC,DAL,-14
10,NO,SF,-3
10,NYJ,PIT,7
10,TB,ATL,-10
10,OAK,DEN,-24
10,ARI,STL,17
10,SEA,NYG,21
10,GB,CHI,41
10,PHI,CAR,24
11,MIA,BUF,13
11,CAR,ATL,-2
11,CHI,MIN,8
11,CLE,HOU,-16
11,GB,PHI,33
11,KC,SEA,4
11,NO,CIN,-17
11,NYG,SF,-6
11,STL,DEN,15
11,WAS,TB,-20
11,SD,OAK,7
11,ARI,DET,8
11,IND,NE,-22
11,TEN,PIT,-3
12,OAK,KC,4
12,ATL,CLE,-2
12,BUF,NYJ,35
12,CHI,TB,8
12,HOU,CIN,-9
12,IND,JAC,20
12,MIN,GB,-3
12,NE,DET,25
12,PHI,TEN,19
12,SD,STL,3
12,SEA,ARI,16
12,DEN,MIA,3
12,SF,WAS,4
12,NYG,DAL,-3
12,NO,BAL,-7
13,DET,CHI,17
13,DAL,PHI,-23
13,SF,SEA,-16
13,BAL,SD,-1
13,BUF,CLE,16
13,HOU,TEN,24
13,IND,WAS,22
13,JAC,NYG,1
13,MIN,CAR,18
13,PIT,NO,-3
13,STL,OAK,52
13,TB,CIN,-1
13,ATL,ARI,11
13,GB,NE,5
13,KC,DEN,-13
13,NYJ,MIA,-3
14,CHI,DAL,-13
14,CIN,PIT,-21
14,CLE,IND,-1
14,DET,TB,17
14,JAC,HOU,-14
14,MIA,BAL,-15
14,MIN,NYJ,6
14,NO,CAR,-31
14,TEN,NYG,-29
14,WAS,STL,-24
14,ARI,KC,3
14,DEN,BUF,7
14,OAK,SF,11
14,PHI,SEA,-10
14,SD,NE,-9
14,GB,ATL,6
15,STL,ARI,-6
15,ATL,PIT,-7
15,BAL,JAC,8
15,BUF,GB,8
15,CAR,TB,2
15,CLE,CIN,-30
15,DET,MIN,2
15,IND,HOU,7
15,KC,OAK,18
15,NE,MIA,28
15,NYG,WAS,11
15,SD,DEN,-12
15,TEN,NYJ,-5
15,SEA,SF,10
15,PHI,DAL,-11
15,CHI,NO,-16
16,JAC,TEN,8
16,WAS,PHI,3
16,SF,SD,-3
16,CAR,CLE,4
16,CHI,DET,-6
16,HOU,BAL,12
16,MIA,MIN,2
16,NO,ATL,-16
16,NYJ,NE,-1
16,PIT,KC,8
16,TB,GB,-17
16,STL,NYG,-10
16,DAL,IND,35
16,OAK,BUF,2
16,ARI,SEA,-29
16,CIN,DEN,9
17,ATL,CAR,-31
17,BAL,CLE,10
17,GB,DET,10
17,HOU,JAC,6
17,KC,SD,12
17,MIA,NYJ,-13
17,MIN,CHI,4
17,NE,BUF,-8
17,NYG,PHI,-8
17,PIT,CIN,10
17,TB,NO,-3
17,TEN,IND,-17
17,WAS,DAL,-27
17,DEN,OAK,33
17,SF,ARI,3
17,SEA,STL,14
