week,home_team,away_team,point_diff
1,NE,PIT,7
1,CHI,GB,-8
1,STL,SEA,3
1,JAC,CAR,-11
1,WAS,MIA,-7
1,BUF,IND,13
1,NYJ,CLE,21
1,HOU,KC,-7
1,ARI,NO,12
1,SD,DET,5
1,DEN,BAL,6
1,OAK,CIN,-20
1,TB,TEN,-28
1,DAL,NYG,1
1,ATL,PHI,2
1,SF,MIN,17
2,KC,DEN,-7
2,CAR,HOU,7
2,BUF,NE,-8
2,CIN,SD,5
2,CLE,TEN,14
2,NYG,ATL,-4
2,WAS,STL,14
2,CHI,ARI,-25
2,MIN,DET,10
2,NO,TB,-7
2,PIT,SF,25
2,OAK,BAL,4
2,JAC,MIA,3
2,PHI,DAL,-10
2,GB,SEA,10
2,IND,NYJ,-13
3,NYG,WAS,11
3,DAL,ATL,-11
3,CAR,NO,5
3,NYJ,PHI,-7
3,HOU,TB,10
3,MIN,SD,17
3,STL,PIT,-6
3,NE,JAC,34
3,BAL,CIN,-4
3,CLE,OAK,-7
3,TEN,IND,-2
3,ARI,SF,40
3,SEA,CHI,26
3,MIA,BUF,-27
3,DET,DEN,-12
3,GB,KC,10
4,PIT,BAL,-3
4,MIA,NYJ,-13
4,CHI,OAK,2
4,ATL,HOU,27
4,CIN,KC,15
4,IND,JAC,3
4,WAS,PHI,3
4,TB,CAR,-14
4,BUF,NYG,-14
4,SD,CLE,3
4,SF,GB,-14
4,ARI,STL,-2
4,DEN,MIN,3
4,NO,DAL,6
4,SEA,DET,3
5,HOU,IND,-7
5,PHI,NO,22
5,KC,CHI,-1
5,CIN,SEA,3
5,ATL,WAS,6
5,TB,JAC,7
5,BAL,CLE,-3
5,TEN,BUF,-1
5,GB,STL,14
5,DET,ARI,-25
5,DAL,NE,-24
5,OAK,DEN,-6
5,NYG,SF,3
5,SD,PIT,-4
6,NO,ATL,10
6,DET,CHI,3
6,NYJ,WAS,14
6,PIT,ARI,12
6,MIN,KC,6
6,BUF,CIN,-13
6,CLE,DEN,-3
6,TEN,MIA,-28
6,JAC,HOU,-11
6,SEA,CAR,-4
6,GB,SD,7
6,SF,BAL,5
6,IND,NE,-7
6,PHI,NYG,20
7,SF,SEA,-17
7,JAC,BUF,3
7,STL,CLE,18
7,MIA,HOU,18
7,NE,NYJ,7
7,KC,PIT,10
7,WAS,TB,1
7,DET,MIN,-9
7,IND,NO,-6
7,TEN,ATL,-3
7,SD,OAK,-8
7,NYG,DAL,7
7,CAR,PHI,11
7,ARI,BAL,8
8,NE,MIA,29
8,KC,DET,35
8,BAL,SD,3
8,PIT,CIN,-6
8,HOU,TEN,14
8,CHI,MIN,-3
8,ATL,TB,-3
8,NO,NYG,3
8,STL,SF,21
8,CLE,ARI,-14
8,OAK,NYJ,14
8,DAL,SEA,-1
8,DEN,GB,19
8,CAR,IND,3
9,CIN,CLE,21
9,MIN,STL,3
9,CAR,GB,8
9,NE,WAS,17
9,NO,TEN,-6
9,BUF,MIA,16
9,NYJ,JAC,5
9,PIT,OAK,3
9,TB,NYG,-14
9,SF,ATL,1
9,IND,DEN,3
9,DAL,PHI,-6
9,SD,CHI,-3
10,NYJ,BUF,-5
10,WAS,NO,33
10,GB,DET,-2
10,TB,DAL,4
10,TEN,CAR,-17
10,STL,CHI,-24
10,PHI,MIA,-1
10,BAL,JAC,-2
10,PIT,CLE,21
10,OAK,MIN,-16
10,NYG,NE,-1
10,DEN,KC,-16
10,SEA,ARI,-7
10,CIN,HOU,-4
11,JAC,TEN,6
11,CHI,DEN,-2
11,DET,OAK,5
11,ATL,IND,-3
11,HOU,NYJ,7
11,PHI,TB,-28
11,MIN,GB,-17
11,CAR,WAS,28
11,MIA,DAL,-10
11,BAL,STL,3
11,ARI,CIN,3
11,SEA,SF,16
11,SD,KC,-30
11,NE,BUF,7
12,DET,PHI,31
12,DAL,CAR,-19
12,GB,CHI,-4
12,WAS,NYG,6
12,ATL,MIN,-10
12,CIN,STL,24
12,HOU,NO,18
12,IND,TB,13
12,NYJ,MIA,18
12,JAC,SD,-6
12,TEN,OAK,-3
12,KC,BUF,8
12,SF,ARI,-6
12,SEA,PIT,9
12,DEN,NE,6
12,CLE,BAL,-6
13,DET,GB,-4
13,NYG,NYJ,-3
13,BUF,HOU,9
13,MIA,BAL,2
13,CLE,CIN,-34
13,TEN,JAC,3
13,CHI,SF,-6
13,MIN,SEA,-31
13,NO,CAR,-3
13,TB,ATL,4
13,STL,ARI,-24
13,OAK,KC,-14
13,SD,DEN,-14
13,NE,PHI,-7
13,PIT,IND,35
13,WAS,DAL,-3
14,ARI,MIN,3
14,PHI,BUF,3
14,NYJ,TEN,22
14,CIN,PIT,-13
14,HOU,NE,-21
14,JAC,IND,35
14,KC,SD,7
14,CHI,WAS,-3
14,CAR,ATL,38
14,TB,NO,-7
14,STL,DET,7
14,CLE,SF,14
14,DEN,OAK,-3
14,GB,DAL,21
14,BAL,SEA,-29
14,MIA,NYG,-7
15,STL,TB,8
15,DAL,NYJ,-3
15,NYG,CAR,-3
15,PHI,ARI,-23
15,MIN,CHI,21
15,JAC,ATL,-6
15,IND,HOU,-6
15,NE,TEN,17
15,BAL,KC,-20
15,WAS,BUF,10
15,SEA,CLE,17
15,OAK,GB,-10
15,PIT,DEN,7
15,SD,MIA,16
15,SF,CIN,-10
15,NO,DET,-8
16,OAK,SD,3
16,PHI,WAS,-14
16,NO,JAC,11
16,MIA,IND,-6
16,NYJ,NE,6
16,TEN,HOU,-28
16,KC,CLE,4
16,DET,SF,15
16,MIN,NYG,32
16,ATL,CAR,7
16,TB,CHI,-5
16,BUF,DAL,10
16,ARI,GB,30
16,SEA,STL,-6
16,BAL,PIT,3
16,DEN,CIN,3
17,BUF,NYJ,5
17,MIA,NE,10
17,CIN,BAL,8
17,CLE,PIT,-16
17,HOU,JAC,24
17,IND,TEN,6
17,KC,OAK,6
17,DAL,WAS,-11
17,NYG,PHI,-5
17,CHI,DET,-4
17,GB,MIN,-7
17,ATL,NO,-3
17,CAR,TB,28
17,DEN,SD,7
17,ARI,SEA,-30
17,SF,STL,3
