flower_power,team
28.39,GB
27.95,DET
27.77,SF
24.83,BUF
24.05,NO
23.61,BAL
22.65,NE
22.37,CHI
21.93,PHI
21.02,HOU
19.84,CIN
19.36,ATL
19.10,DAL
18.21,PIT
17.88,NYJ
14.27,CAR
13.92,MIN
13.91,NYG
13.35,SD
12.82,WAS
12.68,OAK
12.34,TB
11.17,TEN
10.63,JAC
10.00,ARI
9.68,KC
9.58,SEA
7.31,CLE
7.08,DEN
6.84,MIA
5.02,STL
0.00,IND
