week,home_team,away_team,point_diff
1,DEN,BAL,22
1,BUF,NE,-2
1,CAR,SEA,-5
1,CHI,CIN,3
1,CLE,MIA,-13
1,DET,MIN,10
1,IND,OAK,4
1,JAC,KC,-26
1,NYJ,TB,1
1,NO,ATL,6
1,PIT,TEN,-7
1,STL,ARI,3
1,SF,GB,6
1,DAL,NYG,5
1,WAS,PHI,-6
1,SD,HOU,-3
2,NE,NYJ,3
2,ATL,STL,7
2,BAL,CLE,8
2,BUF,CAR,1
2,CHI,MIN,1
2,GB,WAS,18
2,HOU,TEN,6
2,IND,MIA,-4
2,KC,DAL,1
2,PHI,SD,-3
2,ARI,DET,4
2,TB,NO,-2
2,NYG,DEN,-18
2,OAK,JAC,10
2,SEA,SF,26
2,CIN,PIT,10
3,PHI,KC,-10
3,BAL,HOU,21
3,CIN,GB,4
3,DAL,STL,24
3,MIA,ATL,4
3,MIN,CLE,-4
3,NYJ,BUF,7
3,NE,TB,20
3,NO,ARI,24
3,TEN,SD,3
3,WAS,DET,-7
3,CAR,NYG,38
3,SF,IND,-20
3,SEA,JAC,28
3,PIT,CHI,-17
3,DEN,OAK,16
4,STL,SF,-24
4,BUF,BAL,3
4,CLE,CIN,11
4,DET,CHI,8
4,HOU,SEA,-3
4,JAC,IND,-34
4,KC,NYG,24
4,MIN,PIT,7
4,TB,ARI,-3
4,TEN,NYJ,25
4,DEN,PHI,32
4,OAK,WAS,-10
4,SD,DAL,9
4,ATL,NE,-7
4,NO,MIA,21
5,CLE,BUF,13
5,CHI,NO,-8
5,CIN,NE,7
5,GB,DET,13
5,IND,SEA,6
5,MIA,BAL,-3
5,NYG,PHI,-15
5,STL,JAC,14
5,TEN,KC,-9
5,ARI,CAR,16
5,DAL,DEN,-3
5,OAK,SD,10
5,SF,HOU,31
5,ATL,NYJ,-2
6,CHI,NYG,6
6,BAL,GB,-2
6,BUF,CIN,-3
6,CLE,DET,-14
6,HOU,STL,-25
6,KC,OAK,17
6,MIN,CAR,-25
6,NYJ,PIT,-13
6,TB,PHI,-11
6,DEN,JAC,16
6,SEA,TEN,7
6,NE,NO,3
6,SF,ARI,12
6,DAL,WAS,15
6,SD,IND,10
7,ARI,SEA,-12
7,ATL,TB,8
7,CAR,STL,15
7,DET,CIN,-3
7,GB,CLE,18
7,JAC,SD,-18
7,KC,HOU,1
7,MIA,BUF,-2
7,NYJ,NE,3
7,PHI,DAL,-14
7,WAS,CHI,4
7,TEN,SF,-14
7,PIT,BAL,3
7,IND,DEN,6
7,NYG,MIN,16
8,TB,CAR,-18
8,DET,DAL,1
8,JAC,SF,-32
8,KC,CLE,6
8,NE,MIA,10
8,NO,BUF,18
8,PHI,NYG,-8
8,OAK,PIT,3
8,CIN,NYJ,40
8,ARI,ATL,14
8,DEN,WAS,24
8,MIN,GB,-13
8,STL,SEA,-5
9,MIA,CIN,2
9,BUF,KC,-10
9,CAR,ATL,24
9,DAL,MIN,4
9,NYJ,NO,6
9,STL,TEN,-7
9,WAS,SD,6
9,OAK,PHI,-29
9,SEA,TB,3
9,CLE,BAL,6
9,NE,PIT,24
9,HOU,IND,-3
9,GB,CHI,-7
10,MIN,WAS,7
10,ATL,SEA,-23
10,BAL,CIN,3
10,CHI,DET,-2
10,GB,PHI,-14
10,IND,STL,-30
10,NYG,OAK,4
10,PIT,BUF,13
10,TEN,JAC,-2
10,SF,CAR,-1
10,ARI,HOU,3
10,SD,DEN,-8
10,NO,DAL,32
10,TB,MIA,3
11,TEN,IND,-3
11,BUF,NYJ,23
11,CHI,BAL,3
11,CIN,CLE,21
11,HOU,OAK,-5
11,JAC,ARI,-13
11,MIA,SD,4
11,PHI,WAS,8
11,PIT,DET,10
11,TB,ATL,13
11,DEN,KC,10
11,NO,SF,3
11,SEA,MIN,21
11,NYG,GB,14
