flower_power,team
24.02,GB
21.93,NE
21.60,PIT
21.27,NYJ
19.46,PHI
19.39,BAL
19.23,ATL
18.96,SD
17.41,TEN
16.69,IND
16.67,CHI
15.17,MIA
15.08,NYG
15.03,KC
14.80,NO
13.43,CLE
13.34,DET
12.58,HOU
11.26,MIN
11.15,OAK
10.93,WAS
10.91,BUF
10.36,DAL
9.92,TB
9.81,CIN
9.19,JAC
7.37,STL
6.59,DEN
6.21,SF
4.28,SEA
0.00,CAR
-0.10,ARI
