flower_power,team
29.06,PIT
23.81,BAL
22.98,NYJ
22.68,TEN
20.87,IND
20.52,ATL
20.05,NE
19.67,GB
18.86,KC
18.22,DET
18.01,CHI
16.78,PHI
16.29,SD
15.40,NYG
15.19,DEN
14.72,CIN
14.02,DAL
13.76,CLE
13.24,TB
12.92,MIN
11.98,WAS
10.10,SEA
9.40,HOU
7.49,MIA
7.16,JAC
6.99,NO
6.39,STL
6.06,OAK
4.52,SF
1.92,ARI
1.40,CAR
0.00,BUF
