flower_power,team
24.59,NE
20.57,GB
20.56,MIA
20.55,DEN
19.43,KC
17.94,IND
17.28,BAL
17.20,SEA
15.89,BUF
15.62,ARI
15.28,PHI
14.19,SD
13.45,DET
13.23,DAL
12.34,HOU
12.13,SF
12.06,CIN
11.31,PIT
10.62,NO
10.03,CLE
8.42,MIN
7.05,NYG
6.91,STL
6.79,ATL
6.70,CHI
5.44,OAK
4.76,WAS
3.93,CAR
3.51,NYJ
3.28,TEN
0.36,TB
0.00,JAC
