flower_power,team
33.07,NE
28.82,ARI
25.29,ATL
22.51,GB
21.79,NYJ
21.74,CIN
21.65,NYG
21.58,PIT
20.34,BUF
20.17,PHI
17.57,DEN
17.30,SEA
16.24,WAS
15.61,STL
15.41,DAL
13.92,BAL
13.06,TEN
12.72,MIN
12.51,CAR
11.43,CLE
11.09,SD
10.69,OAK
9.47,IND
9.28,KC
8.58,SF
7.51,NO
6.62,DET
6.40,CHI
6.08,MIA
3.59,HOU
1.95,JAC
0.00,TB
