flower_power,team
26.39,PIT
25.41,NYJ
24.38,BAL
22.02,NE
21.96,KC
19.49,SD
17.77,TEN
17.42,CIN
17.25,GB
17.21,ATL
16.52,IND
16.24,CLE
14.17,PHI
12.88,DEN
12.72,DAL
12.01,HOU
11.30,CHI
10.98,SEA
10.82,WAS
10.38,STL
10.20,TB
8.62,MIN
8.35,DET
8.06,MIA
7.49,NO
5.89,NYG
4.25,JAC
3.17,SF
2.19,BUF
1.99,OAK
0.00,CAR
-1.22,ARI
