flower_power,team
30.44,HOU
26.50,NE
26.11,ARI
24.95,BAL
24.15,SF
24.03,DEN
23.11,ATL
22.93,CHI
20.27,SEA
18.02,GB
17.75,MIN
17.27,NYG
15.60,MIA
15.09,PHI
14.32,SD
14.23,CIN
13.29,STL
12.47,PIT
11.68,DAL
11.07,DET
10.88,WAS
9.23,TB
9.04,JAC
9.02,CLE
8.74,IND
7.76,NYJ
6.82,BUF
6.09,CAR
3.75,NO
3.08,TEN
2.10,OAK
0.00,KC
