week,home_team,away_team,point_diff
1,DEN,CAR,1
1,ATL,TB,-7
1,BAL,BUF,6
1,HOU,CHI,9
1,JAC,GB,-4
1,KC,SD,6
1,NO,OAK,-1
1,NYJ,CIN,-1
1,PHI,CLE,19
1,TEN,MIN,-9
1,SEA,MIA,2
1,DAL,NYG,-1
1,IND,DET,-4
1,ARI,NE,-2
1,WAS,PIT,-22
1,SF,LA,28
2,BUF,NYJ,-6
2,CAR,SF,19
2,CLE,BAL,-5
2,DET,TEN,-1
2,HOU,KC,7
2,NE,MIA,7
2,NYG,NO,3
2,PIT,CIN,8
2,WAS,DAL,-4
2,ARI,TB,33
2,LA,SEA,6
2,DEN,IND,14
2,OAK,ATL,-7
2,SD,JAC,24
2,MIN,GB,3
2,CHI,PHI,-15
3,NE,HOU,27
3,BUF,ARI,15
3,CAR,MIN,-12
3,CIN,DEN,-12
3,GB,DET,7
3,JAC,BAL,-2
3,MIA,CLE,6
3,NYG,WAS,-2
3,TEN,OAK,-7
3,SEA,SF,19
3,TB,LA,-5
3,PHI,PIT,31
3,IND,SD,4
3,KC,NYJ,21
3,DAL,CHI,14
3,NO,ATL,-13
4,CIN,MIA,15
4,JAC,IND,3
4,ATL,CAR,15
4,BAL,OAK,-1
4,CHI,DET,3
4,HOU,TEN,7
4,NE,BUF,-16
4,NYJ,SEA,-10
4,WAS,CLE,11
4,TB,DEN,-20
4,ARI,LA,-4
4,SD,NO,-1
4,SF,DAL,-7
4,PIT,KC,29
4,MIN,NYG,14
5,SF,ARI,-12
5,BAL,WAS,-6
5,CLE,NE,-20
5,DET,PHI,1
5,IND,CHI,6
5,MIA,TEN,-13
5,MIN,HOU,18
5,PIT,NYJ,18
5,DEN,ATL,-7
5,DAL,CIN,14
5,LA,BUF,-11
5,OAK,SD,3
5,GB,NYG,7
5,CAR,TB,-3
6,SD,DEN,0
6,BUF,SF,0
6,CHI,JAC,0
6,DET,LA,0
6,MIA,PIT,0
6,NE,CIN,0
6,NO,CAR,0
6,NYG,BAL,0
6,TEN,CLE,0
6,WAS,PHI,0
6,OAK,KC,0
6,GB,DAL,0
6,SEA,ATL,0
6,HOU,IND,0
6,ARI,NYJ,0
7,GB,CHI,0
7,LA,NYG,0
7,CIN,CLE,0
7,DET,WAS,0
7,JAC,OAK,0
7,KC,NO,0
7,MIA,BUF,0
7,NYJ,BAL,0
7,PHI,MIN,0
7,TEN,IND,0
7,ATL,SD,0
7,SF,TB,0
7,PIT,NE,0
7,ARI,SEA,0
7,DEN,HOU,0
8,TEN,JAC,0
8,CIN,WAS,0
8,ATL,GB,0
8,BUF,NE,0
8,CLE,NYJ,0
8,HOU,DET,0
8,IND,KC,0
8,NO,SEA,0
8,TB,OAK,0
8,DEN,SD,0
8,CAR,ARI,0
8,DAL,PHI,0
8,CHI,MIN,0
9,TB,ATL,0
9,OAK,DEN,0
9,BAL,PIT,0
9,CLE,DAL,0
9,KC,JAC,0
9,MIA,NYJ,0
9,MIN,DET,0
9,NYG,PHI,0
9,LA,CAR,0
9,SF,NO,0
9,GB,IND,0
9,SD,TEN,0
9,SEA,BUF,0
10,BAL,CLE,0
10,CAR,KC,0
10,JAC,HOU,0
10,NO,DEN,0
10,NYJ,LA,0
10,PHI,ATL,0
10,TB,CHI,0
10,TEN,GB,0
10,WAS,MIN,0
10,SD,MIA,0
10,ARI,SF,0
10,PIT,DAL,0
10,NE,SEA,0
10,NYG,CIN,0
11,CAR,NO,0
11,CIN,BUF,0
11,CLE,PIT,0
11,DAL,BAL,0
11,DET,JAC,0
11,IND,TEN,0
11,KC,TB,0
11,MIN,ARI,0
11,NYG,CHI,0
11,LA,MIA,0
11,SF,NE,0
11,SEA,PHI,0
11,WAS,GB,0
11,OAK,HOU,0
12,DET,MIN,0
12,DAL,WAS,0
12,IND,PIT,0
12,ATL,ARI,0
12,BAL,CIN,0
12,BUF,JAC,0
12,CHI,TEN,0
12,CLE,NYG,0
12,HOU,SD,0
12,MIA,SF,0
12,NO,LA,0
12,TB,SEA,0
12,DEN,KC,0
12,OAK,CAR,0
12,NYJ,NE,0
12,PHI,GB,0
13,MIN,DAL,0
13,ATL,KC,0
13,BAL,MIA,0
13,CHI,SF,0
13,CIN,PHI,0
13,GB,HOU,0
13,JAC,DEN,0
13,NE,LA,0
13,NO,DET,0
13,OAK,BUF,0
13,ARI,WAS,0
13,PIT,NYG,0
13,SD,TB,0
13,SEA,CAR,0
13,NYJ,IND,0
14,KC,OAK,0
14,BUF,PIT,0
14,CAR,SD,0
14,CLE,CIN,0
14,DET,CHI,0
14,IND,HOU,0
14,JAC,MIN,0
14,MIA,ARI,0
14,PHI,WAS,0
14,TB,NO,0
14,TEN,DEN,0
14,SF,NYJ,0
14,GB,SEA,0
14,LA,ATL,0
14,NYG,DAL,0
14,NE,BAL,0
15,SEA,LA,0
15,NYJ,MIA,0
15,BAL,PHI,0
15,BUF,CLE,0
15,CHI,GB,0
15,DAL,TB,0
15,HOU,JAC,0
15,KC,TEN,0
15,MIN,IND,0
15,NYG,DET,0
15,ARI,NO,0
15,ATL,SF,0
15,DEN,NE,0
15,SD,OAK,0
15,CIN,PIT,0
15,WAS,CAR,0
16,PHI,NYG,0
16,BUF,MIA,0
16,CAR,ATL,0
16,CHI,WAS,0
16,CLE,SD,0
16,GB,MIN,0
16,JAC,TEN,0
16,NE,NYJ,0
16,NO,TB,0
16,OAK,IND,0
16,LA,SF,0
16,SEA,ARI,0
16,HOU,CIN,0
16,PIT,BAL,0
16,KC,DEN,0
16,DAL,DET,0
17,ATL,NO,0
17,CIN,BAL,0
17,DET,GB,0
17,IND,JAC,0
17,MIA,NE,0
17,MIN,CHI,0
17,NYJ,BUF,0
17,PHI,DAL,0
17,PIT,CLE,0
17,TB,CAR,0
17,TEN,HOU,0
17,WAS,NYG,0
17,DEN,OAK,0
17,LA,ARI,0
17,SD,KC,0
17,SF,SEA,0
